Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
2016.APL;United Kingdom;Q145;India;Q668;United Kingdom;Q145;25/04/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;various spice mixes;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for various spice mixes from India,,,,,,,,
2016.ASX;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;23/05/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;egusi granule;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for egusi granule from Nigeria,,,,,,,
2015.ABH;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;13/01/2015;13/01/2015;food  -  border rejection  -  border control - consignment detained;re-dispatch;dates, figs, walnuts and nuts mix;nuts, nut products and seeds;undecided;missing import declaration;;;;missing import declaration for dates, figs, walnuts and nuts mix from Turkey,,,
20.191.855;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;20/05/2019;19/07/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;smoked fish;fish and fish products;not serious;suspicion of attempt to illegally import;;;;suspicion of attempt to illegally import smoked fish from Ghana,,,,,,,,
2014.AQK;United Kingdom;Q145;India;Q668;United Kingdom;Q145;11/04/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;peanut and tamarind chutney;other food product / mixed;not serious;absence of health certificate(s);;;;absence of health certificate(s) for peanut and tamarind chutney from India,,,,,,,,
2012.BOZ;United Kingdom;Q145;Colombia;Q739;United Kingdom;Q145;02/08/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;cod liver oil;fish and fish products;undecided;absence of health certificate(s);;;;absence of health certificate(s) for cod liver oil from Colombia,,,,,,,,
2016.AZP;United Kingdom;Q145;India;Q668;United Kingdom;Q145;13/07/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;salted peanuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for salted peanuts from India,,,,,,,
2.018.209;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;24/07/2018;24/07/2018;food  -  border rejection  -  border control - consignment detained;destruction;ground watermelon seeds (egusi);nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import ground watermelon seeds (egusi) from Nigeria,,,,,,,
2017.BPQ;United Kingdom;Q145;India;Q668;United Kingdom;Q145;07/09/2017;07/09/2017;food  -  border rejection  -  border control - consignment detained;destruction;nutmegs;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for nutmegs from India,,,,,,,,
2017.ADS;United Kingdom;Q145;Egypt;Q79;United Kingdom;Q145;26/01/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;peppers;fruits and vegetables;not serious;absence of health certificate(s);;;;absence of health certificate(s) for peppers from Egypt,,,,,,,,
2014.ATL;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;14/05/2014;14/05/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2016.BBY;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;09/08/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;melon seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for melon seeds from Nigeria,,,,,,,
2015.BDD;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;09/07/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;melon seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for melon seeds from Nigeria,,,,,,,
20.192.802;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;01/08/2019;01/08/2019;food  -  border rejection  -  border control - consignment detained;destruction;fig composite products;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for fig composite products from Turkey,,,,,,,
20.192.003;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;03/06/2019;05/06/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;honey beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import honey beans from Nigeria,,,,,,,,
2014.AQN;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;14/04/2014;14/04/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2014.AMG;United Kingdom;Q145;Iran;Q794;United Kingdom;Q145;14/03/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;nougat with pistachios;confectionery;not serious;absence of health certificate(s);;;;absence of health certificate(s) for nougat with pistachios from Iran,,,,,,,,
2017.AXH;United Kingdom;Q145;India;Q668;United Kingdom;Q145;22/05/2017;29/12/2017;food  -  border rejection  -  border control - consignment detained;destruction;peanuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for peanuts from India,,,,,,,
2014.BGF;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;30/07/2014;05/08/2014;food  -  border rejection  -  border control - consignment detained;destruction;melon seeds;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import melon seeds from Nigeria,,,,,,,
2014.ASH;United Kingdom;Q145;India;Q668;United Kingdom;Q145;02/05/2014;12/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;okra;fruits and vegetables;not serious;improper health certificate(s);;;;improper health certificate(s) for okra from India,,,,,,,,
2013.CCP;United Kingdom;Q145;India;Q668;United Kingdom;Q145;16/12/2013;12/01/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;okra;fruits and vegetables;not serious;improper health certificate(s);;;19/11/2013;improper health certificate(s) for okra from India,,,,,,,,
2011.BGF;United Kingdom;Q145;Japan;Q17;United Kingdom;Q145;03/06/2011;03/06/2011;food  -  border rejection  -  border control - consignment detained;destruction;green tea;cocoa and cocoa preparations, coffee and tea;undecided;missing import declaration;;;;missing declaration as required by art. 2 of Commission regulation (EC) N°: 297/2011 for green tea from Japan,,,,,,,
2013.BWI;United Kingdom;Q145;India;Q668;United Kingdom;Q145;30/10/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;groundnut snacks;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for groundnut snacks from India,,,,,,,
20.130.194;United Kingdom;Q145;Poland;Q36;Ireland;Q27;15/02/2013;23/05/2013;food  -  information for follow-up  -  company's own check;withdrawal from the market;frozen beef burgers;meat and meat products (other than poultry);undecided;adulteration;horse DNA 5-30;%;07/02/2013;adulteration (horse DNA 5-30 %) of frozen beef burgers from Ireland, with raw material from Poland,,,,,,,
2012.BSZ;United Kingdom;Q145;Philippines;Q928;United Kingdom;Q145;30/08/2012;12/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;peanut butter crisp;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for peanut butter crisp from China, via the Philippines,,,,,,
20.101.655;United Kingdom;Q145;Gambia;Q1005;United Kingdom;Q145;06/12/2010;08/02/2011;food  -  information  -  official control on the market;withdrawal from the market;fresh tuna loins;fish and fish products;undecided;illegal import;exporter in the Gambia removed from the list of the approved establishments;;;illegal import (exporter in the Gambia removed from the list of the approved establishments) of fresh tuna loins from the Gambia,,,,,,,,
2017.BUN;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;10/10/2017;10/10/2017;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2017.AGK;United Kingdom;Q145;India;Q668;United Kingdom;Q145;10/02/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;curry leaves;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for curry leaves from India,,,,,,,,
2.015.165;United Kingdom;Q145;Nepal;Q837;United Kingdom;Q145;28/12/2015;05/01/2016;feed  -  information for attention  -  official control on the market;destruction;dog treat;pet food;not serious;illegal import;;;;illegal import of dog treat from Nepal,,,,,,,,
2014.AZL;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;17/06/2014;05/08/2014;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2014.BCL;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;03/07/2014;14/06/2017;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import and Salmonella enterica (presence in 3 out of 5  samples /250g) in paan leaves from Bangladesh,,,,,,,,
20.191.792;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;15/05/2019;22/05/2019;food  -  border rejection  -  border control - consignment detained;;melon seeds and smoked crayfish;crustaceans and products thereof;not serious;attempt to illegally import;;;;attempt to illegally import and absence of labelling on and of health certificate(s) for melon seeds and smoked crayfish from Nigeria,,,,,,,,
2016.BFM;United Kingdom;Q145;Thailand;Q869;United Kingdom;Q145;22/09/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;fish products and bivalve molluscs;other food product / mixed;not serious;absence of health certificate(s);;;;absence of health certificate(s) for fish products and bivalve molluscs from Thailand,,,,,,,,
20.180.005;United Kingdom;Q145;Turkey;Q43;United Kingdom;Q145;02/01/2018;04/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;milk chocolate coated pistachio dragee;nuts, nut products and seeds;not serious;absence of certified analytical report;;;;absence of certified analytical report for milk chocolate coated pistachio dragee from Turkey,,,,,,,
2013.BIU;United Kingdom;Q145;India;Q668;United Kingdom;Q145;22/07/2013;23/07/2013;food  -  border rejection  -  border control - consignment detained;destruction;curry leaves;fruits and vegetables;undecided;absence of certified analytical report;;;;absence of certified analytical report for curry leaves from India,,,,,,,,
2015.BSX;United Kingdom;Q145;South Africa;Q258;United Kingdom;Q145;05/11/2015;12/01/2018;feed  -  border rejection  -  border control - consignment detained;re-dispatch;dried pet food (chicken and rice);pet food;not serious;improper health certificate(s);;;;improper health certificate(s) for dried pet food (chicken and rice) from South Africa,,,,,,,,
20.192.779;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;31/07/2019;31/07/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;melon seeds;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import melon seeds from Nigeria,,,,,,,
20.192.619;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;19/07/2019;19/07/2019;food  -  border rejection  -  border control - consignment detained;;groundnut kernels;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import groundnut kernels from Ghana,,,,,,,
